Author name,University,H index,Document Name,Errors
"Yip, A.","McMaster University, McMaster Manufacturing Research Institute, Hamilton, Canada",h-index: 1,Documents: 1,NIl
Author name,University,H index,Document Name,Errors
"Yip, A.","McMaster University, McMaster Manufacturing Research Institute, Hamilton, Canada",h-index: 1,Documents: 1,NIl
Author name,University,H index,Document Name,Errors
"Yip, A.","McMaster University, McMaster Manufacturing Research Institute, Hamilton, Canada",h-index: 1,Documents: 1,NIl
Author name,University,H index,Document Name,Errors
"Yip, A.","McMaster University, McMaster Manufacturing Research Institute, Hamilton, Canada",h-index: 1,Documents: 1,NIl
Author name,University,H index,Document Name,Errors
"Pinkerton, Anthony B.","Sanford Burnham Prebys Medical Discovery Institute, Conrad Prebys Center for Chemical Genomics, San Diego, United States",h-index: 27,Documents: 65,NIl
"Neves, Patrícia P C C","Fundacao Oswaldo Cruz, Rio de Janeiro, Brazil",h-index: 1,Documents: 1,NIl
